,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,LP001002,1.0,0.0,0.0,1.0,0.0,5849,0.0,,360.0,1.0,1,Y
2,LP001003,1.0,1.0,0.0,1.0,0.0,4583,1508.0,128.0,360.0,1.0,0,N
3,LP001005,1.0,1.0,0.0,1.0,1.0,3000,0.0,66.0,360.0,1.0,1,Y
4,LP001006,1.0,1.0,0.0,0.0,0.0,2583,2358.0,120.0,360.0,1.0,1,Y
5,LP001008,1.0,0.0,0.0,1.0,0.0,6000,0.0,141.0,360.0,1.0,1,Y
6,LP001011,1.0,1.0,0.0,1.0,1.0,5417,4196.0,267.0,360.0,1.0,1,Y
7,LP001013,1.0,1.0,0.0,0.0,0.0,2333,1516.0,95.0,360.0,1.0,1,Y
8,LP001014,1.0,1.0,3.0,1.0,0.0,3036,2504.0,158.0,360.0,0.0,2,N
9,LP001018,1.0,1.0,0.0,1.0,0.0,4006,1526.0,168.0,360.0,1.0,1,Y
10,LP001020,1.0,1.0,0.0,1.0,0.0,12841,10968.0,349.0,360.0,1.0,2,N
11,LP001024,1.0,1.0,0.0,1.0,0.0,3200,700.0,70.0,360.0,1.0,1,Y
12,LP001027,1.0,1.0,0.0,1.0,0.0,2500,1840.0,109.0,360.0,1.0,1,Y
13,LP001028,1.0,1.0,0.0,1.0,0.0,3073,8106.0,200.0,360.0,1.0,1,Y
14,LP001029,1.0,0.0,0.0,1.0,0.0,1853,2840.0,114.0,360.0,1.0,0,N
15,LP001030,1.0,1.0,0.0,1.0,0.0,1299,1086.0,17.0,120.0,1.0,1,Y
16,LP001032,1.0,0.0,0.0,1.0,0.0,4950,0.0,125.0,360.0,1.0,1,Y
17,LP001034,1.0,0.0,0.0,0.0,0.0,3596,0.0,100.0,240.0,,1,Y
18,LP001036,0.0,0.0,0.0,1.0,0.0,3510,0.0,76.0,360.0,0.0,1,N
19,LP001038,1.0,1.0,0.0,0.0,0.0,4887,0.0,133.0,360.0,1.0,0,N
20,LP001041,1.0,1.0,0.0,1.0,0.0,2600,3500.0,115.0,,1.0,1,Y
